time_sec,ecgi,residual,status
60.0000,001-01-0000001,8.6606,NORMAL
60.0000,001-01-0000002,6.2213,NORMAL
60.0000,001-01-0000003,6.0913,NORMAL
60.0000,001-01-0000004,6.5207,NORMAL
60.0000,001-01-0000005,6.4489,NORMAL
60.0000,001-01-0000006,6.3207,NORMAL
60.0000,001-01-0000007,6.7672,NORMAL
60.0000,001-01-0000008,6.2166,NORMAL
60.0000,001-01-0000009,6.4753,NORMAL
60.0000,001-01-0000010,6.5245,NORMAL
60.0000,001-01-0000011,6.0851,NORMAL
60.0000,001-01-0000012,6.5658,NORMAL
60.0000,001-01-0000013,6.2206,NORMAL
60.0000,001-01-0000014,6.1971,NORMAL
60.0000,001-01-0000015,6.4508,NORMAL
60.0000,001-01-0000016,6.1674,NORMAL
60.0000,001-01-0000017,6.3650,NORMAL
60.0000,001-01-0000018,6.3723,NORMAL
60.0000,001-01-0000019,6.1461,NORMAL
60.0000,001-01-0000020,6.4923,NORMAL
60.0000,001-01-0000021,6.3127,NORMAL
60.0000,001-01-0000022,6.7867,NORMAL
60.0000,001-01-0000023,5.8958,NORMAL
60.0000,001-01-0000024,6.4624,NORMAL
60.0000,001-01-0000025,6.3445,NORMAL
