time_sec,num_measurements,avg_residual,num_cells,num_fake_cells,runtime_ms
12.0,4525,663618.455083,25,1,148958.7
6.0,4400,662794.928839,25,1,151248.57
10.0,4475,632593.29082,25,1,151364.06
3.0,4425,689460.477114,25,1,151350.81
4.0,4375,695981.237567,25,1,151850.38
11.0,4500,691242.113558,25,1,152138.07
13.0,4475,658643.183842,25,1,152516.56
7.0,4475,676361.020962,25,1,153066.27
1.0,4450,664115.248189,25,1,152723.56
8.0,4600,690980.119033,25,1,153609.14
9.0,4375,662895.015761,25,1,152612.0
5.0,4400,671361.146866,25,1,153192.02
2.0,4400,630479.328102,25,1,153165.75
16.0,4475,659947.793201,25,1,153538.65
15.0,4525,656154.326127,25,1,155454.4
14.0,4650,663614.364885,25,1,158688.39
20.0,4325,649036.314932,25,1,139407.52
26.0,4350,583501.308708,25,1,141537.67
19.0,4400,653239.412548,25,1,146169.63
29.0,4425,615791.617782,25,1,144764.42
17.0,4525,662282.682051,25,1,149205.4
27.0,4425,650901.125015,25,1,145689.64
25.0,4375,731123.560405,25,1,146486.61
18.0,4425,629576.396125,25,1,148881.53
30.0,4500,532676.349945,25,1,145924.61
21.0,4575,583297.688527,25,1,150202.52
23.0,4400,577328.006725,25,1,149325.04
32.0,4350,653644.2925,25,1,144278.85
28.0,4475,649378.600511,25,2,148925.75
24.0,4475,601352.412043,25,1,151685.5
22.0,4500,614845.879788,25,1,152617.72
31.0,4475,544276.202843,25,1,149815.17
35.0,4475,587587.042348,25,1,141574.44
37.0,4375,620110.769615,25,1,142844.58
42.0,4300,594000.886282,25,1,140762.86
33.0,4450,628815.047643,25,1,151662.22
39.0,4550,546750.817876,25,1,143802.81
46.0,4300,579738.091855,25,1,139260.43
34.0,4425,591506.0069,25,3,148004.75
41.0,4325,564648.015096,25,1,145907.88
47.0,4425,603291.304703,25,1,142565.15
38.0,4425,652908.315714,25,1,148824.21
36.0,4575,566383.046265,25,1,151124.07
40.0,4425,555324.768835,25,1,149155.04
43.0,4475,561546.70264,25,1,147962.21
44.0,4450,558499.102914,25,1,147213.08
45.0,4625,500119.693107,25,1,149069.88
48.0,4525,634023.554091,25,1,147522.25
49.0,4525,531664.533824,25,1,103937.22
51.0,4525,609633.977576,25,1,103354.62
52.0,4525,560290.780661,25,1,103543.75
53.0,4400,553151.989962,25,1,103185.31
55.0,4400,499174.720019,25,1,101630.04
58.0,4450,537081.403135,25,1,100546.46
50.0,4600,534730.044215,25,2,107511.01
59.0,4475,526795.95565,25,1,99521.77
56.0,4525,561319.05696,25,1,102486.23
54.0,4550,555199.391387,25,2,104711.46
57.0,4550,574182.524897,25,2,101613.77
