ecgi,pos_x,pos_y,pos_z,tx_power_dbm,is_fake
001-01-0000001,0.000,0.000,25.000,46.000,0
001-01-0000002,500.000,0.000,25.000,46.000,0
001-01-0000003,1000.000,0.000,25.000,46.000,0
001-01-0000004,1500.000,0.000,25.000,46.000,0
001-01-0000005,2000.000,0.000,25.000,46.000,0
001-01-0000006,0.000,500.000,25.000,46.000,0
001-01-0000007,500.000,500.000,25.000,46.000,0
001-01-0000008,1000.000,500.000,25.000,46.000,0
001-01-0000009,1500.000,500.000,25.000,46.000,0
001-01-0000010,2000.000,500.000,25.000,46.000,0
001-01-0000011,0.000,1000.000,25.000,46.000,0
001-01-0000012,500.000,1000.000,25.000,46.000,0
001-01-0000013,1000.000,1000.000,25.000,46.000,0
001-01-0000014,1500.000,1000.000,25.000,46.000,0
001-01-0000015,2000.000,1000.000,25.000,46.000,0
001-01-0000016,0.000,1500.000,25.000,46.000,0
001-01-0000017,500.000,1500.000,25.000,46.000,0
001-01-0000018,1000.000,1500.000,25.000,46.000,0
001-01-0000019,1500.000,1500.000,25.000,46.000,0
001-01-0000020,2000.000,1500.000,25.000,46.000,0
001-01-0000021,0.000,2000.000,25.000,46.000,0
001-01-0000022,500.000,2000.000,25.000,46.000,0
001-01-0000023,1000.000,2000.000,25.000,46.000,0
001-01-0000024,1500.000,2000.000,25.000,46.000,0
001-01-0000025,2000.000,2000.000,25.000,46.000,0
001-01-0000001,141.400,141.400,2.000,61.000,1
